,SubjectName,SubjectID,SectionName,CourseCode,YearName
305,Advanced methods in computational solid mechanics,455262375,Science et ingénierie computationnelles,CIVIL-523,2015-2016
306,"Structures en béton, chapitres choisis",23325791,Génie civil,CIVIL-525,2015-2016
307,"Structures en métal, chapitres choisis",1776477,Génie civil,CIVIL-526,2015-2016
308,Glass structures and facades,1770651047,Génie civil,CIVIL-528,2015-2016
309,Matériaux et structures,1774547,Génie civil,CIVIL-532,2015-2016
310,Stage d'ingénieur crédité avec le PDM (master en  Génie civil),652058540,Génie civil,CIVIL-597,2015-2016
311,Pré-étude projet de master,46641934,Génie civil,CIVIL-598,2015-2016
312,Projet de master en génie civil,134468934,Génie civil,CIVIL-599,2015-2016
313,Computer networks,1776067,Information security minor,COM-208,2015-2016
314,Computer networks,1776067,Systèmes de communication,COM-208,2015-2016
315,Computer networks,1776067,Informatique,COM-208,2015-2016
316,Computer networks,1776067,Passerelle HES - IN,COM-208,2015-2016
317,Computer networks,1776067,Passerelle HES - SC,COM-208,2015-2016
318,Modèles stochastiques pour les communications,1774997,Systèmes de communication,COM-300,2015-2016
319,Modèles stochastiques pour les communications,1774997,Informatique,COM-300,2015-2016
320,Modèles stochastiques pour les communications,1774997,Passerelle HES - SC,COM-300,2015-2016
321,Sécurité des réseaux,4151162,Information security minor,COM-301,2015-2016
322,Sécurité des réseaux,4151162,Systèmes de communication,COM-301,2015-2016
323,Sécurité des réseaux,4151162,Informatique,COM-301,2015-2016
324,Projet en systèmes de communication I,72259583,Systèmes de communication,COM-307,2015-2016
325,Traitement quantique de l'information,1702466222,Systèmes de communication,COM-309,2015-2016
326,Traitement quantique de l'information,1702466222,Informatique,COM-309,2015-2016
327,Cryptography and security,1770973,Information security minor,COM-401,2015-2016
