SubjectID	sections
1890132722	Gestion de l'énergie et construction durable|Génie électrique et électronique
231957235	Systèmes de communication - master
837374708	Architecture
1941543671	Génie civil|Mineur en Énergie
1776377	Mathématiques
1680358144	Programme Sciences humaines et sociales
257434376	Sciences et technologies du vivant
348211982	Architecture
1580213011	Programme Sciences humaines et sociales
838976279	Sciences et ingénierie de l'environnement
652059419	Génie nucléaire
134558496	Sciences et ingénierie de l'environnement
1680050992	Génie civil
132448731	Management, technologie et entrepreneuriat
1581730596	Programme Sciences humaines et sociales
249735302	Programme Sciences humaines et sociales
414819112	Génie civil
2229035	Mathématiques
1772335	Génie mécanique
1908419376	Programme Sciences humaines et sociales
235424562	Programme Sciences humaines et sociales
1934635827	Architecture|Echange AR
130130740	Génie chimique et biotechnologie|Mineur en Énergie|Passerelle HES - CGC
1581027726	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat
1685158711	Mathématiques
1803285306	Programme Sciences humaines et sociales
1775637	Mathématiques
44378947	Physique - master|Ingénierie physique
23610182	Hors plans
1658061639	Mathématiques|Physique
1581734729	Programme Sciences humaines et sociales
840814050	Mineur en Technologies spatiales|Science et génie des matériaux
249353044	Programme Sciences humaines et sociales
1046491990	Sciences et technologies du vivant
72495962	Gestion de l'énergie et construction durable|Sciences et ingénierie de l'environnement
1582863195	Mineur en Neurosciences computationnelles
1776477	Génie civil
80395102	Ingénierie financière
4649823	Sciences et ingénierie de l'environnement
1803277152	Programme Sciences humaines et sociales
1543121763	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat|UNIL - HEC
1580272486	Sciences et technologies du vivant
1802451772	Mathématiques
129687015	Ingénierie mathématique
229720940	Mathématiques - master|Ingénierie mathématique|Génie électrique et électronique|Mineur en Technologies biomédicales|Systèmes de communication - master|Informatique
444503507	Programme Sciences humaines et sociales
132428658	Science et génie des matériaux
1932632950	Génie civil
132424568	Microtechnique
1774457	Mineur en Technologies spatiales|Sciences et ingénierie de l'environnement
1580215162	Programme Sciences humaines et sociales
1670063935	Génie électrique et électronique
1680530302	Bioingénierie|Sciences et technologies du vivant - master
1775912	Microtechnique
128846720	Gestion de l'énergie et construction durable|Génie nucléaire
1772417	CMS
352067537	Sciences et technologies du vivant
1803745771	Mathématiques pour l'enseignement
784634759	Chimie et génie chimique|Génie civil|Mathématiques|Microtechnique|Génie électrique et électronique|Génie mécanique|Science et génie des matériaux|Sciences et ingénierie de l'environnement|Sciences et technologies du vivant|Systèmes de communication|Informatique
1774472	Génie mécanique
1777132	Génie mécanique
44989325	Sciences et ingénierie de l'environnement
1772432	Passerelle HES - CGC
1775427	Génie civil|Sciences et ingénierie de l'environnement|Génie électrique et électronique|Science et génie des matériaux|Informatique|Génie mécanique|Microtechnique|Mathématiques|Systèmes de communication|Sciences et technologies du vivant|Chimie et génie chimique
1680530324	Bioingénierie|Sciences et technologies du vivant - master
348715502	Systèmes de communication|Génie électrique et électronique|Informatique|Passerelle HES - EL
352072600	Hors plans
4148121	Mathématiques
