Source,Target
1680050992,1775782
1775867,1777127
1777132,1775867
146861779,1775867
1775867,228383796
228388747,1775867
1775867,353834062
1775907,1775912
1775907,1776107
23996074,1775912
1775912,47830388
1775912,71603711
1775912,353834062
2258520,1776067
1776067,2258712
24092923,1776067
1776067,71645784
348715502,1776067
1776067,348716744
1776067,1704192615
1790138595,1776067
4151162,1776087
128676455,1776087
82805306,1776347
24346308,1776377
24346316,1776377
129609800,1776377
1685158711,1776377
1776477,23325791
136703631,1776477
136704168,1776477
136704309,1776477
1776477,1680050992
1776592,784634759
1776592,1657417886
1661986440,1776592
1776702,1776627
1776627,4145668
23939045,1776627
400766326,1776627
23939045,1776702
348211982,1776787
146861779,1777127
1777132,146861779
1777132,228377622
1777132,228388747
1888788429,1790169567
136703631,2208445
136704168,2208445
2208445,136704309
2208445,338340784
2258712,2229035
24345947,2229035
128314283,2229035
2258712,2258520
2258520,128676455
4144648,2258712
24092923,2258712
2258712,71645784
2258712,128314283
348715502,2258712
2258712,348716744
354383074,2258712
2258712,1704192615
2258712,1789653698
2258712,1790138595
2258712,1790169567
2258712,1888788429
227318424,348607885
23610182,22827171
22827171,227318424
22827171,229971214
22827171,348607885
229734640,352059163
352617902,229912643
352624843,229912643
1581023265,229912643
229971214,231606915
359060026,229971214
229971214,1676846587
359060026,231606915
231606915,938058920
1676846587,231606915
126877750,2328456
1499247990,2328456
2328456,1771652313
136703631,23325791
23325791,136704168
23325791,136704309
227318424,23610182
23610182,348607885
23610182,348608416
1932632950,23610182
24174877,23813560
24175202,23813560
47572541,23985644
23996074,47830388
23996396,24302061
24002581,24005195
24002581,44989325
72495962,24002581
231672762,24002581
24004448,24005195
24005195,47572529
47572541,24005195
72495962,24005195
24005195,72496701
24005195,231672762
444523163,24005195
71645784,24092923
1704192615,24092923
82805306,24166696
24174877,24175202
24174877,71466740
71466740,24175202
126727237,24175202
128314283,24345947
24345947,230597543
24346085,47977389
24346308,24346316
1685158711,24346308
1685158711,24346316
24429568,47830388
24429568,48289169
71898059,24429568
24508366,132121224
24508366,260077392
24508366,350849052
24508366,352072600
352252328,24508366
257434376,351053875
257434376,405237425
784634759,257434376
1657415100,257434376
1657417551,257434376
1657719952,257434376
1676846587,257434376
1678982942,257434376
350849052,260077392
260077392,352252328
85594280,29870604
830901136,338340784
348715502,348716744
348715502,1704192615
1790138595,348715502
1888788429,348716744
350849052,352072600
352252328,350849052
784634759,351053875
351053875,1676846587
351053875,1678982942
1678983025,351053875
352059100,352059163
840801900,352059163
352059163,840814050
352252328,352072600
352617902,352624843
353834062,352624843
352624843,1581023265
353834062,352625368
1581023265,353834062
353834062,1680050992
359060026,938058920
1676846587,359060026
405237425,784634759
1657417886,405237425
1657719952,405237425
1658044571,405237425
405237425,1658061639
1676846587,405237425
1678982942,405237425
405237425,1678983025
4144648,71645784
4144648,1704192615
71855072,4144900
132121224,4145120
23939045,4145668
47980922,4150874
4151162,24092923
71645784,4151162
72259583,4151162
